id,orderNumber,customerId,orderDate,requestedDeliveryDate,salesOrg,distributionChannel,division,totalNetAmount,totalTaxAmount,totalGrossAmount,currency,status,paymentTerms
3034bde8-1a63-4b1d-93e9-b47fd3237460,SO-0011,02ee2de6-b631-42ad-9200-bd5f10022153,2024-08-17,2024-10-02,2000,30,00,23899.03,4301.83,28200.86,USD,OPEN,NET60
15b8677c-aff4-41ff-b7bb-2793092f3963,SO-0012,ca3fcf82-2d0d-4d30-bd5b-17ffb8afce7c,2024-06-11,2024-07-18,1000,30,02,79445.05,14300.11,93745.16,USD,COMPLETED,NET60
89fbe077-de0c-4092-9ccf-983bc69d5ec3,SO-0013,02ee2de6-b631-42ad-9200-bd5f10022153,2025-01-19,2025-03-15,1000,30,01,15801.01,2844.18,18645.19,USD,COMPLETED,NET60
d6265e3b-14d7-4b36-afe3-194231ffc73f,SO-0014,71910904-e940-496b-8d38-f72d0ae26636,2024-10-18,2024-12-09,2000,10,02,49166.87,8850.04,58016.91,USD,COMPLETED,NET60
515da30d-ec73-44f8-be2a-4a9384d9bbf5,SO-0015,8a5de554-d5b7-46cd-9cf0-b605ec9758ad,2025-04-12,2025-06-07,1000,10,01,63458.2,11422.48,74880.68,USD,OPEN,NET30
1cea01f0-b4f5-4c09-bdf6-591ab1b9e163,SO-0016,3b06f677-2b64-4548-85d8-17ce13f3e030,2025-01-05,2025-01-18,1000,20,00,17353.4,3123.61,20477.01,USD,COMPLETED,NET45
a3ec2c6e-1df8-4779-844e-842614bfaee8,SO-0017,912fdc8a-b1b4-4642-96ce-14002d68546b,2025-02-16,2025-03-19,2000,10,02,64861.05,11674.99,76536.04,USD,COMPLETED,NET45
292bba97-99e0-49ca-b917-9b53af864c91,SO-0018,32db9aa9-2ba1-4ae9-ab60-33e573ed4aca,2025-02-21,2025-04-11,3000,30,02,11988.82,2157.99,14146.81,USD,IN_DELIVERY,NET45
c6c7a9ce-91ab-40b1-abe5-ba3966e49900,SO-0019,b3c1c861-53a8-42d1-9896-d9f56201110a,2025-01-12,2025-01-22,3000,10,02,4762.31,857.22,5619.53,USD,COMPLETED,NET45
d2370f3b-2c93-42e7-ae9a-30efb8bc31a5,SO-0020,7324dc14-27c8-47fe-9a48-8e9c7a845ee4,2025-06-17,2025-07-17,2000,30,01,20015.99,3602.88,23618.87,USD,IN_DELIVERY,NET30
e6065696-6484-4d6b-8b06-767d3ca689eb,SO-0021,42580fca-0e8a-4b72-8342-b7c741190aa7,2024-02-17,2024-03-15,1000,20,01,9984.36,1797.18,11781.54,USD,COMPLETED,NET15
78a93fde-0ab3-4b34-b64c-5b08e277e02a,SO-0022,02ee2de6-b631-42ad-9200-bd5f10022153,2024-10-19,2024-11-02,2000,10,01,25774.14,4639.35,30413.49,USD,COMPLETED,NET60
ce64080d-a8be-44d8-a45d-bb12fedec6d8,SO-0023,caf3f907-45cd-46ed-b913-b2e0a69d130d,2024-09-14,2024-11-06,2000,20,02,70828.32,12749.1,83577.42,USD,COMPLETED,NET45
44ab8f6c-15cf-471c-94c7-cd2af336201c,SO-0024,9bdd26ed-c368-43c7-89aa-dc3f798ea028,2025-03-02,2025-04-06,3000,20,02,24550.17,4419.03,28969.2,USD,IN_DELIVERY,NET45
eb8ae7cd-dee0-494b-be7c-10f1ca189b05,SO-0025,8c602997-9b9f-4dcb-b137-a3cb262691ec,2025-01-20,2025-02-13,1000,10,00,27188.3,4893.89,32082.19,USD,COMPLETED,NET15
41e0304a-33ca-42da-8ea0-3cdc91ea922d,SO-0026,ca66635d-cd5c-4b95-8081-9ed470ee0c4f,2024-07-21,2024-08-20,1000,20,01,46215.35,8318.76,54534.11,USD,DRAFT,NET60
a6bebc53-cd23-472a-9daa-411aca1e4494,SO-0027,1ee7e4ce-4837-4eee-92cd-0440e3a59c0d,2024-04-14,2024-06-13,2000,30,01,38006.87,6841.24,44848.11,USD,COMPLETED,NET60
a8aa1b41-494a-4a42-ae74-9730a96ff540,SO-0028,80362182-5357-489f-a3d9-bb50369dc679,2024-12-27,2025-02-05,3000,10,02,31706.34,5707.14,37413.48,USD,COMPLETED,NET45
6763374c-9c78-4989-9eed-b0d5ab65679d,SO-0029,1ee7e4ce-4837-4eee-92cd-0440e3a59c0d,2025-05-07,2025-06-19,2000,20,02,60935.5,10968.39,71903.89,USD,CANCELLED,NET60
e097db5b-7751-4f57-9eee-363e626a79f6,SO-0030,0e77fe3f-01f2-45fc-93b5-05ae03af0f55,2025-03-03,2025-04-27,2000,30,00,24752.6,4455.47,29208.07,USD,CANCELLED,NET30
9b258e96-e98b-4525-952c-5be8fab7de39,SO-0031,c6e2c133-b425-4ab1-918b-65f29e2cd965,2025-05-10,2025-06-29,1000,10,02,1975.53,355.6,2331.13,USD,COMPLETED,NET60
aa98bfe8-5671-40da-b122-de4cd3e10ec6,SO-0032,1d8d86e6-c047-4a9f-a2ee-960ab148be19,2025-05-07,2025-06-19,2000,20,00,69019.05,12423.43,81442.48,USD,OPEN,NET30
0260ea44-ed20-4226-85d7-5445e6683f6f,SO-0033,1ee7e4ce-4837-4eee-92cd-0440e3a59c0d,2024-08-23,2024-10-09,2000,10,01,45196.37,8135.35,53331.72,USD,COMPLETED,NET60
032c5400-acc9-48df-92ac-0c3573f78cc5,SO-0034,92108758-0155-4f43-8061-3c77e859bec3,2025-01-21,2025-02-04,3000,20,01,70936.74,12768.61,83705.35,USD,IN_DELIVERY,NET30
06d75d27-2148-4c5b-b852-a8e30ef4e83c,SO-0035,8a5de554-d5b7-46cd-9cf0-b605ec9758ad,2025-02-03,2025-03-29,2000,20,00,30595.63,5507.21,36102.84,USD,CANCELLED,NET30
cfc389a5-a5b3-4590-bd0a-bf0d2787d720,SO-0036,83c5b079-d633-414a-b375-2d508f3089ac,2024-07-08,2024-07-30,3000,20,02,64122.42,11542.04,75664.46,USD,OPEN,NET60
cf34fbf3-bd46-4bdb-97c9-d870faeb6104,SO-0037,d5da28fe-0fdf-45f5-b18a-b1bcdbbf4edb,2025-04-29,2025-05-06,1000,10,01,52886.06,9519.49,62405.55,USD,COMPLETED,NET30
d6d87870-b0b2-4660-8dfd-f742fcc402cb,SO-0038,633597bf-68fd-43b0-95be-34f67677293d,2024-07-24,2024-08-17,1000,10,01,78257.43,14086.34,92343.77,USD,IN_DELIVERY,NET60
efe7c48d-4cdb-4f45-9289-173083041d1f,SO-0039,8c602997-9b9f-4dcb-b137-a3cb262691ec,2025-03-13,2025-04-24,2000,20,01,45039.35,8107.08,53146.43,USD,COMPLETED,NET15
e1a2e805-9402-465a-b2b0-21fb1e6faed0,SO-0040,b3c1c861-53a8-42d1-9896-d9f56201110a,2024-05-01,2024-06-30,1000,30,00,71336.29,12840.53,84176.82,USD,IN_DELIVERY,NET45
f760c9e8-c325-43a0-94b6-f03fe22e667b,SO-0041,c6e2c133-b425-4ab1-918b-65f29e2cd965,2024-06-08,2024-07-30,3000,10,00,58722.58,10570.06,69292.64,USD,COMPLETED,NET60
43260b32-f5cc-44bd-b3c6-147358cf2ba6,SO-0042,92108758-0155-4f43-8061-3c77e859bec3,2024-03-31,2024-04-18,1000,20,02,49019.42,8823.5,57842.92,USD,COMPLETED,NET30
465b017e-4c1a-48bd-87c2-d5b598780f45,SO-0043,ff23f093-b200-46c9-9d3f-f8e09d32ca6b,2024-05-23,2024-06-27,3000,30,01,45028.95,8105.21,53134.16,USD,IN_DELIVERY,NET45
6838eba2-070e-4384-adf3-c3cd1e15d3ec,SO-0044,9d09cc50-8796-4946-9dc8-41b88058adf4,2024-06-01,2024-06-27,2000,30,01,22436.25,4038.52,26474.77,USD,OPEN,NET15
729327a6-0334-4a6d-8cf4-b1aec792f5b1,SO-0045,71910904-e940-496b-8d38-f72d0ae26636,2024-01-01,2024-02-26,1000,10,01,22004.72,3960.85,25965.57,USD,COMPLETED,NET60
8b6b6794-2e0b-460b-a5f3-2e80faa590bc,SO-0046,81bc3cee-7f5d-48dc-8181-6d603aa2266c,2024-05-07,2024-06-14,1000,20,01,5301.63,954.29,6255.92,USD,COMPLETED,NET45
4dc1f043-818e-4ceb-bb6b-60c4b541894a,SO-0047,1ee7e4ce-4837-4eee-92cd-0440e3a59c0d,2025-03-22,2025-04-29,2000,30,02,27043.98,4867.92,31911.9,USD,CANCELLED,NET60
38962ae1-1aa5-40f0-82d4-0eeb342c1978,SO-0048,bfac4bba-1cf4-4378-948e-364fe0f1ef37,2025-03-18,2025-04-21,1000,20,00,17194.88,3095.08,20289.96,USD,OPEN,NET60
7347137a-4147-4aa3-80f1-f004b7d568d0,SO-0049,e09bfc4d-3954-4bdc-a105-924219deb967,2024-09-16,2024-09-25,3000,10,01,35104.71,6318.85,41423.56,USD,COMPLETED,NET30
71d9f5c8-5ffd-4659-ab97-d71b8844683f,SO-0050,0e77fe3f-01f2-45fc-93b5-05ae03af0f55,2024-11-30,2025-01-22,2000,30,02,4102.31,738.42,4840.73,USD,COMPLETED,NET30
bf472d24-9eca-48fb-be9a-a81a3218a3be,SO-0051,37a7a6be-5b9e-4038-bb16-75500ce74640,2024-03-24,2024-05-12,2000,30,01,51272.46,9229.04,60501.5,USD,COMPLETED,NET30
878bfef1-9d2c-4291-90f8-161af985d8bf,SO-0052,05c0deef-1297-41f8-ac63-42ba27e45f34,2025-05-22,2025-06-02,2000,30,01,78640.06,14155.21,92795.27,USD,CANCELLED,NET30
1357d9da-d309-4ef8-9336-0a89afb29f80,SO-0053,9bdd26ed-c368-43c7-89aa-dc3f798ea028,2024-12-31,2025-02-10,3000,30,01,78613.07,14150.35,92763.42,USD,COMPLETED,NET45
482df90a-ed81-49ac-b31d-66c3651d8a02,SO-0054,90b398c9-1db5-42d0-9b56-9ec752d60a8c,2024-11-27,2024-12-06,3000,10,00,56271.97,10128.95,66400.92,USD,OPEN,NET15
83e21c21-3be9-4de0-b8b4-3ec198875281,SO-0055,57b43ac8-b7f5-4cbe-9ff1-fbb6928e0707,2024-07-17,2024-07-30,1000,10,01,64451.43,11601.26,76052.69,USD,OPEN,NET15
23465de0-4e4e-4245-b9c3-4ba47ecc8d2a,SO-0056,32db9aa9-2ba1-4ae9-ab60-33e573ed4aca,2024-03-02,2024-04-12,1000,30,00,45169.12,8130.44,53299.56,USD,COMPLETED,NET45
4076d542-b084-4712-ac54-be0e53259773,SO-0057,90b398c9-1db5-42d0-9b56-9ec752d60a8c,2025-04-01,2025-05-25,1000,10,02,21928.62,3947.15,25875.77,USD,COMPLETED,NET15
176095b7-4ec5-44c3-8ead-b36cf37f7076,SO-0058,26d4b373-bde8-4991-8e6f-e0c3f4abd219,2024-01-12,2024-02-04,2000,30,02,60203.27,10836.59,71039.86,USD,COMPLETED,NET60
52380afc-2845-42e5-b8f2-5aee2f740c0a,SO-0059,3941971d-8354-4750-b19f-258733f9ada8,2024-11-16,2024-12-23,2000,10,01,60208.18,10837.47,71045.65,USD,DRAFT,NET60
073a143c-450d-43a2-99cd-df0fd3c39ea9,SO-0060,0e77fe3f-01f2-45fc-93b5-05ae03af0f55,2024-10-01,2024-11-17,3000,20,01,39596.38,7127.35,46723.73,USD,COMPLETED,NET30
fdc8c787-2f27-403d-b66d-07bccbbf7d27,SO-0061,0e77fe3f-01f2-45fc-93b5-05ae03af0f55,2025-01-21,2025-02-03,2000,10,02,70914.59,12764.63,83679.22,USD,COMPLETED,NET30
c5d69718-549e-48b7-87b1-4cd9f1828d40,SO-0062,37a7a6be-5b9e-4038-bb16-75500ce74640,2024-02-17,2024-03-16,2000,30,01,1024.75,184.45,1209.2,USD,OPEN,NET30
9f8cb916-ee57-4af3-bdbf-4dda29cfd046,SO-0063,30197940-e9b3-4b1c-9d3a-56ec42a311bc,2024-07-21,2024-09-05,3000,30,00,19822.49,3568.05,23390.54,USD,OPEN,NET15
30d7249b-7a25-48b8-97f8-21aa5659b9c6,SO-0064,57b43ac8-b7f5-4cbe-9ff1-fbb6928e0707,2024-04-23,2024-05-18,1000,10,02,7551.31,1359.24,8910.55,USD,COMPLETED,NET15
3aa4de01-3d16-40d6-833c-f91cb68e1ff3,SO-0065,83c5b079-d633-414a-b375-2d508f3089ac,2024-09-25,2024-11-01,3000,20,00,27920.02,5025.6,32945.62,USD,COMPLETED,NET60
761a8c9b-d65c-499e-b264-86f66e79c741,SO-0066,ca66635d-cd5c-4b95-8081-9ed470ee0c4f,2024-03-22,2024-05-10,3000,20,01,64719.86,11649.57,76369.43,USD,COMPLETED,NET60
b43c8276-dc1a-4df7-88bb-8e52fd09ed4a,SO-0067,90b398c9-1db5-42d0-9b56-9ec752d60a8c,2024-08-21,2024-10-20,1000,30,01,39407.26,7093.31,46500.57,USD,COMPLETED,NET15
e19dbbee-0203-45c4-a45f-d3dd12f9ee91,SO-0068,32db9aa9-2ba1-4ae9-ab60-33e573ed4aca,2024-01-06,2024-01-31,1000,10,02,41721.12,7509.8,49230.92,USD,DRAFT,NET45
dd065b09-1b5d-49a4-8210-b5b3951e5645,SO-0069,26d4b373-bde8-4991-8e6f-e0c3f4abd219,2025-02-24,2025-03-17,2000,30,00,20163.83,3629.49,23793.32,USD,COMPLETED,NET60
1fa16385-3bd2-4a7b-bf2d-04821bacb9fb,SO-0070,90b398c9-1db5-42d0-9b56-9ec752d60a8c,2024-04-21,2024-05-17,3000,20,00,20189.67,3634.14,23823.81,USD,OPEN,NET15
d38e52a1-46fe-4591-8027-a5e61a23532b,SO-0071,81bc3cee-7f5d-48dc-8181-6d603aa2266c,2025-06-02,2025-06-14,3000,10,02,78136.89,14064.64,92201.53,USD,IN_DELIVERY,NET45
06796eaa-729e-4695-8d1b-5aa986ea59d1,SO-0072,96bfd297-d290-4d5d-8310-e56a6cf7f1a4,2025-04-09,2025-05-16,3000,20,02,29576.68,5323.8,34900.48,USD,COMPLETED,NET30
6e97b3f4-b843-48f9-ba04-48ed827a9a73,SO-0073,d5da28fe-0fdf-45f5-b18a-b1bcdbbf4edb,2024-05-10,2024-06-13,1000,10,02,56309.69,10135.74,66445.43,USD,COMPLETED,NET30
435eba39-f740-4abb-84e5-80230dca9ae4,SO-0074,42580fca-0e8a-4b72-8342-b7c741190aa7,2024-04-12,2024-06-05,1000,30,01,20808.75,3745.57,24554.32,USD,COMPLETED,NET15
076e8267-6b44-458a-8148-7f2b51abc7f8,SO-0075,57b43ac8-b7f5-4cbe-9ff1-fbb6928e0707,2025-06-18,2025-07-29,2000,20,02,16534.2,2976.16,19510.36,USD,CANCELLED,NET15
74c842d5-36e6-4b1d-8a09-db4c519ae85e,SO-0076,ff23f093-b200-46c9-9d3f-f8e09d32ca6b,2025-03-23,2025-04-20,2000,30,00,38354.65,6903.84,45258.49,USD,COMPLETED,NET45
034c31f0-e2e4-4b68-a60d-9a56bc8d82c2,SO-0077,90b398c9-1db5-42d0-9b56-9ec752d60a8c,2025-01-14,2025-01-25,1000,20,00,32193.68,5794.86,37988.54,USD,IN_DELIVERY,NET15
6a302225-fd65-4bdb-b3aa-3d9f3ea40d4d,SO-0078,42580fca-0e8a-4b72-8342-b7c741190aa7,2024-01-26,2024-03-07,1000,20,01,66822.77,12028.1,78850.87,USD,OPEN,NET15
47430967-848b-4a01-b6d6-7eac44957de6,SO-0079,2729166e-1eb7-4add-9ca9-20ec9f283c47,2024-04-29,2024-05-23,1000,20,01,30538.48,5496.93,36035.41,USD,COMPLETED,NET60
1a2d8791-3742-4c84-9b31-5792d210cc8c,SO-0080,f7bf6a72-80f2-4fb4-bfe5-e4ee209eb0c0,2024-08-04,2024-08-12,1000,20,01,15143.61,2725.85,17869.46,USD,COMPLETED,NET30
bf2b1fb4-c1e9-460a-9c35-a322e9d99791,SO-0081,659b31f4-9d77-4534-aa3b-0561706bbe9a,2024-09-15,2024-11-07,2000,30,02,9410.33,1693.86,11104.19,USD,OPEN,NET30
22ed8000-4dcb-4dae-8b8c-c9d8bf9d083c,SO-0082,71910904-e940-496b-8d38-f72d0ae26636,2025-03-21,2025-04-08,2000,10,02,43616.41,7850.95,51467.36,USD,OPEN,NET60
b106f63c-6341-4d99-b9df-6f03be0accb4,SO-0083,32db9aa9-2ba1-4ae9-ab60-33e573ed4aca,2024-10-31,2024-12-25,3000,10,00,45645.69,8216.22,53861.91,USD,COMPLETED,NET45
9c5d9094-99bc-4585-9f17-23730cf1dfd5,SO-0084,02ee2de6-b631-42ad-9200-bd5f10022153,2024-10-24,2024-11-11,3000,10,02,43446.17,7820.31,51266.48,USD,COMPLETED,NET60
888f399f-beb0-4670-a841-d6e341e765f8,SO-0085,22fab182-e8d2-44e3-8bec-19570919be08,2025-05-26,2025-06-05,1000,30,00,60862.09,10955.18,71817.27,USD,COMPLETED,NET30
9fb79481-5e36-4d69-b727-28b8fb7150ec,SO-0086,96bfd297-d290-4d5d-8310-e56a6cf7f1a4,2024-05-12,2024-06-27,3000,30,01,7276.1,1309.7,8585.8,USD,COMPLETED,NET30
9e5be35b-1f63-4f6e-9276-a9c50f6f01f3,SO-0087,90b398c9-1db5-42d0-9b56-9ec752d60a8c,2025-05-30,2025-06-21,1000,30,01,46627.62,8392.97,55020.59,USD,CANCELLED,NET15
0baf19fd-6e26-4025-85f7-0068349222e4,SO-0088,0e138a14-6b59-4a00-86e1-3e46e03fde11,2024-04-08,2024-05-31,3000,10,00,58204.41,10476.79,68681.2,USD,COMPLETED,NET30
a012ac25-325e-4a27-ae0a-3b03e018105d,SO-0089,caf3f907-45cd-46ed-b913-b2e0a69d130d,2024-07-20,2024-08-25,3000,30,02,30839.6,5551.13,36390.73,USD,COMPLETED,NET45
99e32f14-0189-4a53-a1f6-2d3ecfabad11,SO-0090,9d09cc50-8796-4946-9dc8-41b88058adf4,2024-01-25,2024-03-07,3000,30,02,72792.18,13102.59,85894.77,USD,COMPLETED,NET15
892b8534-fb91-4778-a764-f32e6e8ace68,SO-0091,ca3fcf82-2d0d-4d30-bd5b-17ffb8afce7c,2024-12-28,2025-02-18,3000,20,00,35482.6,6386.87,41869.47,USD,COMPLETED,NET60
cabd408f-2089-48ba-aa22-4a732543f79a,SO-0092,92108758-0155-4f43-8061-3c77e859bec3,2024-03-05,2024-03-22,1000,10,00,75400.46,13572.08,88972.54,USD,COMPLETED,NET30
a319d50b-a2e4-4dfa-b09b-5553e05a07c3,SO-0093,81bc3cee-7f5d-48dc-8181-6d603aa2266c,2024-10-29,2024-11-28,2000,10,00,33993.52,6118.83,40112.35,USD,OPEN,NET45
cb5aeb68-b6b2-4d1a-abfb-acdd55143c0c,SO-0094,2729166e-1eb7-4add-9ca9-20ec9f283c47,2025-05-31,2025-06-27,1000,20,01,40854.38,7353.79,48208.17,USD,COMPLETED,NET60
4f3af7a0-bbd7-4967-be41-016e79e44756,SO-0095,83c5b079-d633-414a-b375-2d508f3089ac,2024-11-19,2025-01-07,3000,30,00,25675.2,4621.54,30296.74,USD,COMPLETED,NET60
6d1a1bb5-6e51-4826-9b57-359c9c1ae7ad,SO-0096,42580fca-0e8a-4b72-8342-b7c741190aa7,2025-05-04,2025-06-07,1000,10,00,13693.75,2464.88,16158.63,USD,DRAFT,NET15
4e150ca7-6478-4507-a9ac-e745b3fd5a3d,SO-0097,3c5ae9b9-1a54-4457-a999-b70388f62882,2024-05-08,2024-05-26,2000,20,01,34705.5,6246.99,40952.49,USD,COMPLETED,NET30
74becf5e-cee6-4878-9837-4bf20e612e96,SO-0098,b3c1c861-53a8-42d1-9896-d9f56201110a,2025-05-01,2025-05-14,2000,20,01,3513.72,632.47,4146.19,USD,COMPLETED,NET45
4a8cc420-3b20-4f2e-ba6e-821bdb37b2dd,SO-0099,90b398c9-1db5-42d0-9b56-9ec752d60a8c,2024-12-15,2025-01-10,3000,30,00,4645.02,836.1,5481.12,USD,COMPLETED,NET15
03b1f5b1-bb18-4400-a96b-2ba0df04e0be,SO-0100,02ee2de6-b631-42ad-9200-bd5f10022153,2024-05-04,2024-05-29,2000,20,01,34374.48,6187.41,40561.89,USD,COMPLETED,NET60
45c572ee-f603-49ba-b364-4bbd43c87431,SO-0101,2729166e-1eb7-4add-9ca9-20ec9f283c47,2024-10-31,2024-11-30,1000,20,01,67336.02,12120.48,79456.5,USD,COMPLETED,NET60
b176bd19-fb56-4943-a5d3-9dbadbe49a3c,SO-0102,9d09cc50-8796-4946-9dc8-41b88058adf4,2024-03-25,2024-04-11,1000,10,01,1101.95,198.35,1300.3,USD,COMPLETED,NET15
e214fa03-191d-4102-b7b2-a0aef159c59c,SO-0103,22fab182-e8d2-44e3-8bec-19570919be08,2025-04-05,2025-04-24,3000,10,00,63418.09,11415.26,74833.35,USD,COMPLETED,NET30
f6acd333-adc8-4ba2-b6dd-4b37c9d54045,SO-0104,30197940-e9b3-4b1c-9d3a-56ec42a311bc,2024-09-03,2024-09-30,1000,10,01,39711.29,7148.03,46859.32,USD,OPEN,NET15
d7a882b4-7c21-48e6-86f2-07f2df08586b,SO-0105,912fdc8a-b1b4-4642-96ce-14002d68546b,2024-05-14,2024-06-10,1000,10,00,67070.71,12072.73,79143.44,USD,DRAFT,NET45
475ecd3d-a21f-4753-bab9-41cd8ea95f74,SO-0106,9d09cc50-8796-4946-9dc8-41b88058adf4,2025-06-12,2025-08-04,3000,10,00,51781.98,9320.76,61102.74,USD,OPEN,NET15
0ef9f05a-a355-423d-bcdb-bcdde0545081,SO-0107,b6f61001-49ed-409a-9c79-e374b3679ec5,2025-01-20,2025-01-28,1000,10,01,64462.36,11603.22,76065.58,USD,COMPLETED,NET15
3ca1018c-c1ac-4311-8015-216a35aa144b,SO-0108,ca3fcf82-2d0d-4d30-bd5b-17ffb8afce7c,2024-01-22,2024-03-20,3000,30,01,69810.37,12565.87,82376.24,USD,DRAFT,NET60
cc20070d-e38b-41c2-8d89-18bdb4765b74,SO-0109,ae81f93a-94fe-48cd-bbb0-5a21cb3d21c3,2025-03-17,2025-04-01,3000,30,02,60192.6,10834.67,71027.27,USD,CANCELLED,NET60
a26169d4-5fdd-42ed-af08-99c5cdac1c82,SO-0110,05c0deef-1297-41f8-ac63-42ba27e45f34,2024-10-16,2024-11-07,3000,30,01,10401.51,1872.27,12273.78,USD,COMPLETED,NET30
fa89c27f-8a68-4c25-bea8-1cda50ac8340,SO-0111,3941971d-8354-4750-b19f-258733f9ada8,2024-01-18,2024-03-10,2000,10,01,3034.89,546.28,3581.17,USD,COMPLETED,NET60
4ee49bb1-bfef-4c10-82b7-3faad57a73ad,SO-0112,caf3f907-45cd-46ed-b913-b2e0a69d130d,2024-03-22,2024-04-29,2000,30,01,18774.65,3379.44,22154.09,USD,OPEN,NET45
7e510ba9-dadd-4eb4-8592-7a121a16f11f,SO-0113,f7bf6a72-80f2-4fb4-bfe5-e4ee209eb0c0,2025-01-04,2025-03-05,3000,30,00,71609.7,12889.75,84499.45,USD,COMPLETED,NET30
8dfe33a7-f4ff-4d01-8f3c-55d92ea1d0f0,SO-0114,ae81f93a-94fe-48cd-bbb0-5a21cb3d21c3,2025-03-26,2025-04-07,1000,10,02,63663.43,11459.42,75122.85,USD,COMPLETED,NET60
b00c77b8-52ea-4a2b-a2a7-4f2a4a47f703,SO-0115,ff23f093-b200-46c9-9d3f-f8e09d32ca6b,2025-01-01,2025-01-24,3000,10,01,75036.94,13506.65,88543.59,USD,COMPLETED,NET45
eca54955-e1f4-4245-94de-d3aa8b0a46d2,SO-0116,3b06f677-2b64-4548-85d8-17ce13f3e030,2025-01-19,2025-02-26,2000,10,02,74308.86,13375.59,87684.45,USD,COMPLETED,NET45
a7034a3e-9c3b-4403-9088-0fe6c96c2704,SO-0117,1d8d86e6-c047-4a9f-a2ee-960ab148be19,2025-06-21,2025-08-14,1000,30,02,50316.14,9056.91,59373.05,USD,CANCELLED,NET30
2f385d20-813b-47de-829f-fd656f02342c,SO-0118,2729166e-1eb7-4add-9ca9-20ec9f283c47,2025-03-29,2025-04-15,3000,30,02,17258.82,3106.59,20365.41,USD,CANCELLED,NET60
ffeb9bcd-b6d6-437a-b493-3a32d6d43556,SO-0119,ca66635d-cd5c-4b95-8081-9ed470ee0c4f,2024-11-17,2024-12-10,3000,10,00,73563.62,13241.45,86805.07,USD,CANCELLED,NET60
e05d7b3e-bde3-4661-ba73-b6c41e922f12,SO-0120,1d8d86e6-c047-4a9f-a2ee-960ab148be19,2024-11-29,2025-01-09,2000,20,02,28829.23,5189.26,34018.49,USD,COMPLETED,NET30
d9f9aed9-83bd-4138-b175-655b00c65138,SO-0121,bfac4bba-1cf4-4378-948e-364fe0f1ef37,2024-05-03,2024-06-27,3000,20,01,38155.2,6867.94,45023.14,USD,IN_DELIVERY,NET60
3a90f721-3eb7-45bb-8ac7-af65d198e6c0,SO-0122,0e77fe3f-01f2-45fc-93b5-05ae03af0f55,2024-08-26,2024-09-29,3000,20,01,16498.63,2969.75,19468.38,USD,COMPLETED,NET30
d1b22e59-3553-46cd-822f-570d364d5b4f,SO-0123,e5461c8e-8b40-4930-97b6-80d51ddf608a,2024-12-26,2025-01-07,3000,20,01,13311.31,2396.04,15707.35,USD,COMPLETED,NET45
144d0174-42d2-42ff-b8bc-bbf8bc467903,SO-0124,30bb7aaa-468b-47d9-8a49-1469edbdc74f,2024-11-05,2024-12-21,2000,20,00,13775.77,2479.64,16255.41,USD,IN_DELIVERY,NET15
a5c8712b-a281-43b5-a93d-950e95249323,SO-0125,e5461c8e-8b40-4930-97b6-80d51ddf608a,2025-01-18,2025-03-01,3000,20,00,41436.64,7458.6,48895.24,USD,DRAFT,NET45
